Pstatus,Medu,Fedu,traveltime,studytime,failures,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,grade
A,4,4,2,2,0,no,yes,yes,no,no,4,3,4,1,1,3,6,6
T,1,1,1,2,0,no,no,yes,yes,no,5,3,3,1,1,3,4,6
T,1,1,1,2,3,no,yes,yes,yes,no,4,3,2,2,3,3,10,10
T,4,2,1,3,0,yes,yes,yes,yes,yes,3,2,2,1,1,5,2,15
T,3,3,1,2,0,no,yes,yes,no,no,4,3,2,1,2,5,4,10
T,4,3,1,2,0,yes,yes,yes,yes,no,5,4,2,1,2,5,10,15
T,2,2,1,2,0,no,yes,yes,yes,no,4,4,4,1,1,3,0,11
A,4,4,2,2,0,no,yes,yes,no,no,4,1,4,1,1,1,6,6
A,3,2,1,2,0,no,yes,yes,yes,no,4,2,2,1,1,1,0,19
T,3,4,1,2,0,yes,yes,yes,yes,no,5,5,1,1,1,5,0,15
T,4,4,1,2,0,no,yes,yes,yes,no,3,3,3,1,2,2,0,9
T,2,1,3,3,0,yes,yes,yes,yes,no,5,2,2,1,1,4,4,12
T,4,4,1,1,0,yes,yes,yes,yes,no,4,3,3,1,3,5,2,14
T,4,3,2,2,0,no,yes,yes,yes,no,5,4,3,1,2,3,2,11
A,2,2,1,3,0,no,yes,yes,yes,yes,4,5,2,1,1,3,0,16
T,4,4,1,1,0,no,yes,yes,yes,no,4,4,4,1,2,2,4,14
T,4,4,1,3,0,yes,yes,yes,yes,no,3,2,3,1,2,2,6,14
T,3,3,3,2,0,yes,yes,yes,no,no,5,3,2,1,1,4,4,10
T,3,2,1,1,3,yes,yes,yes,yes,no,5,5,5,2,4,5,16,5
T,4,3,1,1,0,yes,yes,yes,yes,no,3,1,3,1,3,5,4,10
T,4,3,1,2,0,no,yes,yes,yes,no,4,4,1,1,1,1,0,15
T,4,4,1,1,0,no,yes,yes,yes,no,5,4,2,1,1,5,0,15
T,4,2,1,2,0,yes,yes,yes,yes,no,4,5,1,1,3,5,2,16
T,2,2,2,2,0,yes,yes,yes,yes,no,5,4,4,2,4,5,0,12
T,2,4,1,3,0,yes,yes,yes,yes,no,4,3,2,1,1,5,2,8
T,2,2,1,1,2,no,no,yes,yes,no,1,2,2,1,3,5,14,8
T,2,2,1,1,0,no,yes,yes,yes,no,4,2,2,1,2,5,2,11
T,4,2,1,1,0,no,yes,yes,yes,no,2,2,4,2,4,1,4,15
A,3,4,1,2,0,yes,yes,yes,yes,no,5,3,3,1,1,5,4,11
T,4,4,1,2,0,yes,yes,yes,yes,yes,4,4,5,5,5,5,16,11
T,4,4,1,2,0,no,no,yes,yes,no,5,4,2,3,4,5,0,12
T,4,4,2,2,0,yes,yes,yes,yes,no,4,3,1,1,1,5,0,17
T,4,3,1,2,0,yes,yes,yes,yes,yes,4,5,2,1,1,5,0,16
T,3,3,1,2,0,yes,no,yes,yes,no,5,3,2,1,1,2,0,12
T,3,2,1,1,0,no,no,yes,yes,no,5,4,3,1,1,5,0,15
T,2,3,2,1,0,yes,yes,yes,no,no,3,5,1,1,1,5,0,6
